,Create At,Name,Price
174,2022-03-22 15:44:55.160203,Soho Small Studded Quilted Patent Leather Shoulder Bag,6220.00
175,2022-03-22 15:44:55.160280,Brooklyn Quilted Recycled Polyester Belt Bag,2010.00
176,2022-03-22 15:44:55.160359,Heather Extra-Small Logo Crossbody Bag,3800.00
177,2022-03-22 15:44:55.160434,Jet Set Large Pebbled Leather Crossbody Bag,4050.00
178,2022-03-22 15:44:55.160514,Karlie Small Canvas and Leather Crossbody Bag,4400.00
179,2022-03-22 15:44:55.160589,Karlie Small Two-Tone Snake Embossed Leather Crossbody Bag,6220.00
180,2022-03-22 15:44:55.160667,Hamilton Legacy Medium Leather Messenger Bag,5400.00
181,2022-03-22 15:44:55.160740,Hamilton Legacy Medium Logo Bucket Bag,5400.00
182,2022-03-22 15:44:55.160814,Bradshaw Medium Striped Canvas and Faux Leather Messenger Bag,4700.00
183,2022-03-22 15:44:55.160892,Hendrix Extra-Small Color-Block Metallic Logo Convertible Crossbody Bag,4300.00
184,2022-03-22 15:44:55.160965,Bedford Legacy Extra-Small Graphic Logo Duffle Crossbody Bag,2500.00
185,2022-03-22 15:44:55.161040,Jet Set Medium Leather and Metallic Logo 4-in-1 Crossbody Bag Set,4050.00
186,2022-03-22 15:44:55.161120,Jet Set Extra-Large Snake Embossed Leather Crossbody Bag,2480.00
187,2022-03-22 15:44:55.161198,Slater Medium Logo Sling Pack,3720.00
188,2022-03-22 15:44:55.161271,Greenwich Small Studded Quilted Faux Leather Crossbody Bag,5400.00
189,2022-03-22 15:44:55.161345,Slater Extra-Small Logo Sling Pack,3500.00
190,2022-03-22 15:44:55.161420,Slater Medium Color-Block Logo Sling Pack,4050.00
191,2022-03-22 15:44:55.161494,Hudson Logo Stripe and Leather Crossbody Bag,4720.00
192,2022-03-22 15:44:55.161566,Hudson Textured Leather Messenger Bag,4900.00
193,2022-03-22 15:44:55.161639,Hudson Logo Crossbody Bag,3800.00
194,2022-03-22 15:44:55.161717,Hudson Graphic Logo Sling Pack,4450.00
195,2022-03-22 15:44:55.161795,Lea Small Logo and Faux Pebbled Leather Crossbody Bag,3100.00
196,2022-03-22 15:44:55.161872,Jet Set Charm Large Logo Stripe Crossbody Bag,3500.00
197,2022-03-22 15:44:55.161955,SoHo Large Quilted Snake Embossed Leather Shoulder Bag,5640.00
198,2022-03-22 15:44:55.162032,Small Quilted Leather Smartphone Crossbody Bag,2690.00
199,2022-03-22 15:44:55.162111,Grace Small Saffiano Leather Crossbody Bag,3500.00
200,2022-03-22 15:44:55.162248,Jet Set Medium Quilted Leather Camera Bag,2690.00
201,2022-03-22 15:44:55.162345,Jet Set Medium Logo Camera Bag,2690.00
202,2022-03-22 15:44:55.162427,Greenwich Small Studded Snake Embossed Leather Crossbody Bag,4970.00
203,2022-03-22 15:44:55.162506,Slater Medium Logo Quilted Nylon Sling Pack,4050.00
204,2022-03-22 15:44:55.162583,Hudson Color-Block Leather Smartphone Crossbody Bag,3370.00
205,2022-03-22 15:44:55.162662,Jet Set Medium Pleated Logo Camera Bag,4050.00
206,2022-03-22 15:44:55.162742,Jet Set Medium Logo Stripe Crossbody Bag,4860.00
207,2022-03-22 15:44:55.162832,Bradshaw Medium Logo Embossed Stripe Messenger Bag,5810.00
208,2022-03-22 15:44:55.162908,Lita Small Two-Tone Logo and Leather Crossbody Bag,4050.00
209,2022-03-22 15:44:55.162984,Jet Set Travel Medium Logo Crossbody Bag,5400.00
210,2022-03-22 15:44:55.163059,Large Quilted Leather Dome Crossbody Bag,3500.00
211,2022-03-22 15:44:55.163253,Sienna Medium Pebbled Leather Satchel,3500.00
212,2022-03-22 15:44:55.163346,Sullivan Small Saffiano Leather Top-Zip Tote Bag,3010.00 -  3500.00
